feature	importance	cancer_relevance
ENSG00000180660.8|MAB21L1	0.20654405606895296	non_cancer
ENSG00000168542.16|COL3A1	0.09436174433066029	non_cancer
ENSG00000134201.12|GSTM5	0.07917864531264822	non_cancer
ENSG00000112320.12|SOBP	0.06530912660445098	non_cancer
ENSG00000145147.20|SLIT2	0.05742104261790817	non_cancer
ENSG00000162614.19|NEXN	0.03977028787100826	non_cancer
ENSG00000165801.10|ARHGEF40	0.039726137399265386	non_cancer
ENSG00000163072.16|NOSTRIN	0.03969749378716598	non_cancer
ENSG00000120738.8|EGR1	0.03682185130440437	cancer
ENSG00000167074.15|TEF	0.03418407684699183	cancer
ENSG00000124942.14|AHNAK	0.026389779934391757	cancer
ENSG00000108799.13|EZH1	0.024726177461577323	non_cancer
ENSG00000114019.15|AMOTL2	0.021514734097084504	non_cancer
ENSG00000121671.12|CRY2	0.021274379701131493	non_cancer
ENSG00000131831.18|RAI2	0.02043460417476043	non_cancer
ENSG00000119138.4|KLF9	0.019555669274043962	non_cancer
ENSG00000084754.12|HADHA	0.015751111293799348	non_cancer
ENSG00000106772.18|PRUNE2	0.014292756298997716	cancer
ENSG00000071242.12|RPS6KA2	0.010834574434261203	non_cancer
ENSG00000166619.15|BLCAP	0.008696333050684374	non_cancer
ENSG00000149577.16|SIDT2	0.008433898178621555	non_cancer
ENSG00000101098.13|RIMS4	0.008433402103639031	non_cancer
ENSG00000007237.19|GAS7	0.006841482625770866	non_cancer
ENSG00000126351.13|THRA	0.006834651021672739	breast_cancer
ENSG00000144655.15|CSRNP1	0.006432070157914631	cancer
ENSG00000175183.10|CSRP2	0.006299224426501153	non_cancer
ENSG00000020181.18|ADGRA2	0.006217351450898376	non_cancer
ENSG00000198732.11|SMOC1	0.00580879829690497	non_cancer
ENSG00000139970.17|RTN1	0.005149736794935333	cancer
ENSG00000167178.16|ISLR2	0.00514963166629563	non_cancer
ENSG00000164442.10|CITED2	0.00463300855313648	non_cancer
ENSG00000100100.13|PIK3IP1	0.004071444571404366	non_cancer
ENSG00000038427.16|VCAN	0.0030960449849266897	non_cancer
ENSG00000109919.10|MTCH2	0.002833911588097928	non_cancer
ENSG00000159388.6|BTG2	0.0028041647090679637	non_cancer
ENSG00000112562.19|SMOC2	0.0027420263740660098	cancer
ENSG00000173692.14|PSMD1	0.0024738860429589925	non_cancer
ENSG00000168038.11|ULK4	0.002073048654955772	non_cancer
ENSG00000197594.13|ENPP1	0.0020172340191025443	non_cancer
ENSG00000076716.9|GPC4	0.001972010537770701	non_cancer
ENSG00000116237.16|ICMT	0.0019262602093770126	non_cancer
ENSG00000132002.9|DNAJB1	0.001890031608950806	non_cancer
ENSG00000148848.14|ADAM12	0.0018822283354779953	non_cancer
ENSG00000140284.11|SLC27A2	0.0016234740614891052	non_cancer
ENSG00000048471.14|SNX29	0.0016151043090780034	non_cancer
