gene	gene_symbol	cancer_relevance	rank_sum	average_rank	rank_std	method_ranks	appears_in_methods	n_methods	avg_composite_score	avg_feature_importance	delta_connectivity	median_composite_score	median_feature_importance	cluster_based_composite_score	cluster_based_feature_importance	consensus_rank
ENSG00000180660.8|MAB21L1	MAB21L1	non_cancer	4	2.000000	1.000000	{'median': 1, 'cluster_based': 3}	['median', 'cluster_based']	2	1007.708408	0.147347	860.361807	1066.905863	0.206544	948.510952	0.088149	1
ENSG00000134201.12|GSTM5	GSTM5	non_cancer	4	2.000000	1.000000	{'median': 3, 'cluster_based': 1}	['median', 'cluster_based']	2	993.439019	0.099111	894.328039	973.506684	0.079179	1013.371353	0.119043	2
ENSG00000112320.12|SOBP	SOBP	non_cancer	6	3.000000	1.000000	{'median': 4, 'cluster_based': 2}	['median', 'cluster_based']	2	1002.158498	0.086068	916.090129	981.399256	0.065309	1022.917741	0.106828	3
ENSG00000168542.16|COL3A1	COL3A1	non_cancer	40	20.000000	18.000000	{'median': 2, 'cluster_based': 38}	['median', 'cluster_based']	2	759.484085	0.049386	710.098561	804.460305	0.094362	714.507865	0.004409	4
ENSG00000145147.20|SLIT2	SLIT2	non_cancer	12	6.000000	1.000000	{'median': 5, 'cluster_based': 7}	['median', 'cluster_based']	2	766.343994	0.048656	717.688131	775.109174	0.057421	757.578813	0.039891	5
ENSG00000108799.13|EZH1	EZH1	non_cancer	16	8.000000	4.000000	{'median': 12, 'cluster_based': 4}	['median', 'cluster_based']	2	953.745513	0.047122	906.623801	931.349979	0.024726	976.141047	0.069517	6
ENSG00000114019.15|AMOTL2	AMOTL2	non_cancer	18	9.000000	4.000000	{'median': 13, 'cluster_based': 5}	['median', 'cluster_based']	2	781.364850	0.035708	745.656890	767.171624	0.021515	795.558077	0.049901	7
ENSG00000120738.8|EGR1	EGR1	cancer	19	9.500000	0.500000	{'median': 9, 'cluster_based': 10}	['median', 'cluster_based']	2	722.104416	0.033302	688.802633	725.624484	0.036822	718.584347	0.029782	8
ENSG00000165801.10|ARHGEF40	ARHGEF40	non_cancer	20	10.000000	3.000000	{'median': 7, 'cluster_based': 13}	['median', 'cluster_based']	2	787.596056	0.032193	755.403067	795.129204	0.039726	780.062909	0.024660	9
ENSG00000162614.19|NEXN	NEXN	non_cancer	21	10.500000	4.500000	{'median': 6, 'cluster_based': 15}	['median', 'cluster_based']	2	1002.479510	0.028644	973.835591	1013.605879	0.039770	991.353141	0.017518	10
ENSG00000166619.15|BLCAP	BLCAP	non_cancer	26	13.000000	7.000000	{'median': 20, 'cluster_based': 6}	['median', 'cluster_based']	2	992.074055	0.026371	965.703262	974.399595	0.008696	1009.748514	0.044045	11
ENSG00000167074.15|TEF	TEF	cancer	28	14.000000	4.000000	{'median': 10, 'cluster_based': 18}	['median', 'cluster_based']	2	1299.387500	0.024495	1274.892264	1309.076341	0.034184	1289.698658	0.014806	12
ENSG00000149577.16|SIDT2	SIDT2	non_cancer	29	14.500000	6.500000	{'median': 21, 'cluster_based': 8}	['median', 'cluster_based']	2	854.780414	0.021431	833.349843	841.783741	0.008434	867.777087	0.034427	13
ENSG00000163072.16|NOSTRIN	NOSTRIN	non_cancer	60	30.000000	22.000000	{'median': 8, 'cluster_based': 52}	['median', 'cluster_based']	2	1096.106819	0.020417	1075.689891	1115.387385	0.039697	1076.826254	0.001136	14
ENSG00000119138.4|KLF9	KLF9	non_cancer	33	16.500000	0.500000	{'median': 16, 'cluster_based': 17}	['median', 'cluster_based']	2	1254.895901	0.017630	1237.266077	1256.821746	0.019556	1252.970056	0.015704	15
ENSG00000076716.9|GPC4	GPC4	non_cancer	49	24.500000	15.500000	{'median': 40, 'cluster_based': 9}	['median', 'cluster_based']	2	733.085695	0.017239	715.846814	717.818824	0.001972	748.352566	0.032506	16
ENSG00000121671.12|CRY2	CRY2	non_cancer	34	17.000000	3.000000	{'median': 14, 'cluster_based': 20}	['median', 'cluster_based']	2	1064.638335	0.017195	1047.442954	1068.717333	0.021274	1060.559336	0.013116	17
ENSG00000124942.14|AHNAK	AHNAK	cancer	40	20.000000	9.000000	{'median': 11, 'cluster_based': 29}	['median', 'cluster_based']	2	988.954883	0.016952	972.003082	998.392862	0.026390	979.516904	0.007514	18
ENSG00000126351.13|THRA	THRA	breast_cancer	36	18.000000	6.000000	{'median': 24, 'cluster_based': 12}	['median', 'cluster_based']	2	877.429640	0.016242	861.187816	868.022467	0.006835	886.836812	0.025649	19
ENSG00000131831.18|RAI2	RAI2	non_cancer	40	20.000000	5.000000	{'median': 15, 'cluster_based': 25}	['median', 'cluster_based']	2	786.074952	0.015916	770.158661	790.593265	0.020435	781.556639	0.011398	20
ENSG00000139970.17|RTN1	RTN1	cancer	40	20.000000	9.000000	{'median': 29, 'cluster_based': 11}	['median', 'cluster_based']	2	1115.509277	0.015673	1099.835927	1104.985663	0.005150	1126.032891	0.026197	21
ENSG00000084754.12|HADHA	HADHA	non_cancer	39	19.500000	2.500000	{'median': 17, 'cluster_based': 22}	['median', 'cluster_based']	2	1252.728728	0.014230	1238.499157	1254.250269	0.015751	1251.207188	0.012708	22
ENSG00000144655.15|CSRNP1	CSRNP1	cancer	39	19.500000	5.500000	{'median': 25, 'cluster_based': 14}	['median', 'cluster_based']	2	793.066267	0.012446	780.620385	787.052456	0.006432	799.080077	0.018460	23
ENSG00000198732.11|SMOC1	SMOC1	non_cancer	44	22.000000	6.000000	{'median': 28, 'cluster_based': 16}	['median', 'cluster_based']	2	795.230877	0.011378	783.853227	789.662025	0.005809	800.799729	0.016947	24
ENSG00000106772.18|PRUNE2	PRUNE2	cancer	59	29.500000	11.500000	{'median': 18, 'cluster_based': 41}	['median', 'cluster_based']	2	747.675451	0.008752	738.923643	753.216399	0.014293	742.134503	0.003211	25
ENSG00000143252.16|SDHC	SDHC	non_cancer	74	37.000000	18.000000	{'median': 55, 'cluster_based': 19}	['median', 'cluster_based']	2	961.577838	0.007506	954.071802	954.987274	0.000915	968.168402	0.014097	26
ENSG00000197594.13|ENPP1	ENPP1	non_cancer	60	30.000000	9.000000	{'median': 39, 'cluster_based': 21}	['median', 'cluster_based']	2	818.130548	0.007416	810.714744	812.731978	0.002017	823.529117	0.012814	27
ENSG00000071242.12|RPS6KA2	RPS6KA2	non_cancer	58	29.000000	10.000000	{'median': 19, 'cluster_based': 39}	['median', 'cluster_based']	2	751.777747	0.007332	744.445936	755.280510	0.010835	748.274983	0.003829	28
ENSG00000175183.10|CSRP2	CSRP2	non_cancer	58	29.000000	3.000000	{'median': 26, 'cluster_based': 32}	['median', 'cluster_based']	2	881.378635	0.006522	874.856331	881.155555	0.006299	881.601714	0.006745	29
