feature	importance
ENSG00000159388.6|BTG2	0.0012783059
ENSG00000148218.16|ALAD	0.0
ENSG00000012660.14|ELOVL5	0.0
ENSG00000148339.12|SLC25A25	0.0
ENSG00000119689.15|DLST	0.0
ENSG00000167074.15|TEF	0.0574105
ENSG00000163820.15|FYCO1	0.00062752404
ENSG00000166272.18|WBP1L	0.0
ENSG00000082641.16|NFE2L1	0.0
ENSG00000084754.12|HADHA	0.0
ENSG00000119138.4|KLF9	0.0011114986
ENSG00000078053.17|AMPH	0.0
ENSG00000143878.10|RHOB	0.0
ENSG00000108788.12|MLX	0.0015909161
ENSG00000181852.18|RNF41	0.0
ENSG00000174233.11|ADCY6	0.0
ENSG00000007237.19|GAS7	0.0
ENSG00000139970.17|RTN1	0.0025645872
ENSG00000169926.11|KLF13	0.0
ENSG00000163072.16|NOSTRIN	0.07419776
ENSG00000162520.15|SYNC	0.0
ENSG00000121671.12|CRY2	0.007221596
ENSG00000148848.14|ADAM12	0.0
ENSG00000164237.9|CMBL	0.0
ENSG00000143149.12|ALDH9A1	0.0
ENSG00000048471.14|SNX29	0.0
ENSG00000164442.10|CITED2	0.006335899
ENSG00000168385.18|SEPTIN2	0.0
ENSG00000107372.13|ZFAND5	0.0
ENSG00000167178.16|ISLR2	0.0037251671
ENSG00000162614.19|NEXN	0.02736044
ENSG00000124942.14|AHNAK	0.016778352
ENSG00000166619.15|BLCAP	0.0038242522
ENSG00000198752.11|CDC42BPB	0.0
ENSG00000140284.11|SLC27A2	0.0032469481
ENSG00000143252.16|SDHC	0.0
ENSG00000144711.16|IQSEC1	0.0
ENSG00000108861.9|DUSP3	0.0
ENSG00000100100.13|PIK3IP1	0.0
ENSG00000137274.13|BPHL	0.0
ENSG00000112320.12|SOBP	0.058944806
ENSG00000173692.14|PSMD1	0.003611688
ENSG00000108799.13|EZH1	0.015532598
ENSG00000134201.12|GSTM5	0.07099282
ENSG00000178761.15|FAM219B	0.0
ENSG00000020181.18|ADGRA2	0.0
ENSG00000116237.16|ICMT	0.0035316714
ENSG00000165678.21|GHITM	0.0
ENSG00000175183.10|CSRP2	0.007926509
ENSG00000122783.17|CYREN	0.0020710435
ENSG00000126351.13|THRA	0.002104817
ENSG00000180660.8|MAB21L1	0.28001478
ENSG00000006007.12|GDE1	0.0
ENSG00000132002.9|DNAJB1	0.0037139729
ENSG00000131373.15|HACL1	0.0
ENSG00000149577.16|SIDT2	0.0
ENSG00000163812.15|ZDHHC3	0.0
ENSG00000088367.23|EPB41L1	0.0
ENSG00000197594.13|ENPP1	0.003970247
ENSG00000204103.4|MAFB	0.0
ENSG00000100439.10|ABHD4	0.0
ENSG00000182575.8|NXPH3	0.0
ENSG00000198732.11|SMOC1	0.0023173355
ENSG00000091136.15|LAMB1	0.0
ENSG00000144655.15|CSRNP1	0.0
ENSG00000110955.9|ATP5F1B	0.0
ENSG00000181031.16|RPH3AL	0.0
ENSG00000133026.13|MYH10	0.0
ENSG00000131831.18|RAI2	0.011198827
ENSG00000101098.13|RIMS4	0.016290907
ENSG00000170522.10|ELOVL6	0.0
ENSG00000205795.4|CYS1	0.0
ENSG00000109919.10|MTCH2	0.0
ENSG00000166780.11|BMERB1	0.0
ENSG00000099968.18|BCL2L13	0.0
ENSG00000165801.10|ARHGEF40	0.005782057
ENSG00000166340.17|TPP1	0.0
ENSG00000114019.15|AMOTL2	0.011813683
ENSG00000071242.12|RPS6KA2	0.0073496155
ENSG00000116171.19|SCP2	0.0014871828
ENSG00000114054.14|PCCB	0.0
ENSG00000112562.19|SMOC2	0.003400959
ENSG00000106772.18|PRUNE2	0.009740018
ENSG00000187678.10|SPRY4	0.0
ENSG00000159307.19|SCUBE1	0.00028452868
ENSG00000064309.14|CDON	0.0
ENSG00000239998.6|LILRA2	0.0
ENSG00000065060.17|UHRF1BP1	0.0
ENSG00000145147.20|SLIT2	0.09743144
ENSG00000076716.9|GPC4	0.002688751
ENSG00000177076.6|ACER2	0.0
ENSG00000114948.13|ADAM23	0.0
ENSG00000109787.13|KLF3	0.0
ENSG00000168542.16|COL3A1	0.14849022
ENSG00000038427.16|VCAN	0.0
ENSG00000253159.3|PCDHGA12	0.0
ENSG00000100764.14|PSMC1	0.0
ENSG00000174306.21|ZHX3	0.0
ENSG00000168038.11|ULK4	0.0035666905
ENSG00000120738.8|EGR1	0.01846904
