gene	gene_symbol	rank	importance	importance_percentage	cumulative_importance
ENSG00000180660.8|MAB21L1	MAB21L1	1	0.206544	20.654406	0.206544
ENSG00000168542.16|COL3A1	COL3A1	2	0.094362	9.436175	0.300906
ENSG00000134201.12|GSTM5	GSTM5	3	0.079179	7.917865	0.380084
ENSG00000112320.12|SOBP	SOBP	4	0.065309	6.530913	0.445394
ENSG00000145147.20|SLIT2	SLIT2	5	0.057421	5.742104	0.502815
ENSG00000162614.19|NEXN	NEXN	6	0.039770	3.977029	0.542585
ENSG00000165801.10|ARHGEF40	ARHGEF40	7	0.039726	3.972614	0.582311
ENSG00000163072.16|NOSTRIN	NOSTRIN	8	0.039697	3.969749	0.622009
ENSG00000120738.8|EGR1	EGR1	9	0.036822	3.682185	0.658830
ENSG00000167074.15|TEF	TEF	10	0.034184	3.418408	0.693014
ENSG00000124942.14|AHNAK	AHNAK	11	0.026390	2.638978	0.719404
ENSG00000108799.13|EZH1	EZH1	12	0.024726	2.472618	0.744130
ENSG00000114019.15|AMOTL2	AMOTL2	13	0.021515	2.151473	0.765645
ENSG00000121671.12|CRY2	CRY2	14	0.021274	2.127438	0.786920
ENSG00000131831.18|RAI2	RAI2	15	0.020435	2.043460	0.807354
ENSG00000119138.4|KLF9	KLF9	16	0.019556	1.955567	0.826910
ENSG00000084754.12|HADHA	HADHA	17	0.015751	1.575111	0.842661
ENSG00000106772.18|PRUNE2	PRUNE2	18	0.014293	1.429276	0.856954
ENSG00000071242.12|RPS6KA2	RPS6KA2	19	0.010835	1.083457	0.867788
ENSG00000166619.15|BLCAP	BLCAP	20	0.008696	0.869633	0.876485
ENSG00000149577.16|SIDT2	SIDT2	21	0.008434	0.843390	0.884918
ENSG00000101098.13|RIMS4	RIMS4	22	0.008433	0.843340	0.893352
ENSG00000007237.19|GAS7	GAS7	23	0.006841	0.684148	0.900193
ENSG00000126351.13|THRA	THRA	24	0.006835	0.683465	0.907028
ENSG00000144655.15|CSRNP1	CSRNP1	25	0.006432	0.643207	0.913460
ENSG00000175183.10|CSRP2	CSRP2	26	0.006299	0.629922	0.919759
ENSG00000020181.18|ADGRA2	ADGRA2	27	0.006217	0.621735	0.925977
ENSG00000198732.11|SMOC1	SMOC1	28	0.005809	0.580880	0.931785
ENSG00000139970.17|RTN1	RTN1	29	0.005150	0.514974	0.936935
ENSG00000167178.16|ISLR2	ISLR2	30	0.005150	0.514963	0.942085
ENSG00000164442.10|CITED2	CITED2	31	0.004633	0.463301	0.946718
ENSG00000100100.13|PIK3IP1	PIK3IP1	32	0.004071	0.407144	0.950789
ENSG00000038427.16|VCAN	VCAN	33	0.003096	0.309605	0.953885
ENSG00000109919.10|MTCH2	MTCH2	34	0.002834	0.283391	0.956719
ENSG00000159388.6|BTG2	BTG2	35	0.002804	0.280416	0.959523
ENSG00000112562.19|SMOC2	SMOC2	36	0.002742	0.274203	0.962265
ENSG00000173692.14|PSMD1	PSMD1	37	0.002474	0.247389	0.964739
ENSG00000168038.11|ULK4	ULK4	38	0.002073	0.207305	0.966812
ENSG00000197594.13|ENPP1	ENPP1	39	0.002017	0.201723	0.968830
